stra,perc,circ,samp,stra2,perc2,circ2,samp2,cros1,cros2
Annealing,0.900,0.400,20,Annealing,0.900,0.400,30,390,298
Annealing,0.900,0.400,20,Annealing,0.900,0.400,40,50191,48007
Annealing,0.900,0.400,20,Annealing,0.900,0.425,30,1070,1050
Annealing,0.900,0.400,20,Annealing,0.900,0.425,35,1212,1175
Annealing,0.900,0.400,20,Annealing,0.950,0.400,20,710,660
Annealing,0.900,0.400,20,Annealing,0.950,0.400,35,14463,13998
Annealing,0.900,0.400,20,Annealing,0.950,0.400,40,145235,137146
Annealing,0.900,0.400,20,Annealing,0.950,0.425,20,39215,38758
Annealing,0.900,0.400,20,Mirroring,0.000,0.400,20,66853,66137
Annealing,0.900,0.400,20,Mirroring,0.000,0.400,25,42046,40818
Annealing,0.900,0.400,20,Mirroring,0.000,0.400,40,152144,151951
Annealing,0.900,0.400,20,Mirroring,0.000,0.425,20,677,523
Annealing,0.900,0.400,20,Mirroring,0.000,0.425,25,960,870
Annealing,0.900,0.400,20,Mirroring,0.000,0.425,30,52735,49907
Annealing,0.900,0.400,20,Mirroring,0.000,0.425,40,63864,58061
Annealing,0.900,0.400,25,Annealing,0.900,0.400,20,18352,17905
Annealing,0.900,0.400,25,Annealing,0.900,0.400,30,55101,51526
Annealing,0.900,0.400,25,Annealing,0.900,0.400,35,353,296
Annealing,0.900,0.400,25,Annealing,0.900,0.425,20,187,125
Annealing,0.900,0.400,25,Annealing,0.900,0.425,25,1649,1626
Annealing,0.900,0.400,25,Annealing,0.900,0.425,30,19479,19226
Annealing,0.900,0.400,25,Annealing,0.900,0.425,35,109407,106515
Annealing,0.900,0.400,25,Annealing,0.950,0.400,25,61350,58402
Annealing,0.900,0.400,25,Annealing,0.950,0.400,35,290,241
Annealing,0.900,0.400,25,Annealing,0.950,0.400,40,138874,129804
Annealing,0.900,0.400,25,Annealing,0.950,0.425,25,1605,1497
Annealing,0.900,0.400,25,Mirroring,0.000,0.400,25,769,715
Annealing,0.900,0.400,25,Mirroring,0.000,0.400,30,96570,94423
Annealing,0.900,0.400,25,Mirroring,0.000,0.425,20,114292,111192
Annealing,0.900,0.400,30,Annealing,0.900,0.400,35,2889,2579
Annealing,0.900,0.400,30,Annealing,0.900,0.400,40,13913,13420
Annealing,0.900,0.400,30,Annealing,0.900,0.425,20,5160,5003
Annealing,0.900,0.400,30,Annealing,0.900,0.425,30,275,235
Annealing,0.900,0.400,30,Annealing,0.950,0.400,20,70001,68539
Annealing,0.900,0.400,30,Annealing,0.950,0.400,25,201,191
Annealing,0.900,0.400,30,Annealing,0.950,0.425,20,138489,135348
Annealing,0.900,0.400,30,Annealing,0.950,0.425,25,76473,73959
Annealing,0.900,0.400,30,Annealing,0.950,0.425,30,610,472
Annealing,0.900,0.400,30,Mirroring,0.000,0.400,35,1256,1192
Annealing,0.900,0.400,30,Mirroring,0.000,0.400,40,893,856
Annealing,0.900,0.400,30,Mirroring,0.000,0.425,25,328,298
Annealing,0.900,0.400,30,Mirroring,0.000,0.425,35,5128,4404
Annealing,0.900,0.400,35,Annealing,0.900,0.400,20,35013,34104
Annealing,0.900,0.400,35,Annealing,0.900,0.425,25,222,167
Annealing,0.900,0.400,35,Annealing,0.900,0.425,30,108322,105096
Annealing,0.900,0.400,35,Annealing,0.900,0.425,35,13563,13184
Annealing,0.900,0.400,35,Annealing,0.950,0.400,20,38598,38368
Annealing,0.900,0.400,35,Annealing,0.950,0.400,30,131073,128646
Annealing,0.900,0.400,35,Annealing,0.950,0.400,35,7751,7287
Annealing,0.900,0.400,35,Mirroring,0.000,0.425,20,339,328
Annealing,0.900,0.400,35,Mirroring,0.000,0.425,30,30,25
Annealing,0.900,0.400,40,Annealing,0.900,0.400,25,55,45
Annealing,0.900,0.400,40,Annealing,0.900,0.400,35,3825,3739
Annealing,0.900,0.400,40,Annealing,0.950,0.400,20,570,525
Annealing,0.900,0.400,40,Annealing,0.950,0.400,25,179,165
Annealing,0.900,0.400,40,Annealing,0.950,0.400,30,43090,42466
Annealing,0.900,0.400,40,Annealing,0.950,0.400,35,1238,1120
Annealing,0.900,0.400,40,Annealing,0.950,0.400,40,3124,2697
Annealing,0.900,0.400,40,Annealing,0.950,0.425,20,8359,8040
Annealing,0.900,0.400,40,Annealing,0.950,0.425,25,534,473
Annealing,0.900,0.400,40,Annealing,0.950,0.425,30,76143,67662
Annealing,0.900,0.400,40,Mirroring,0.000,0.400,20,55021,51288
Annealing,0.900,0.400,40,Mirroring,0.000,0.425,25,31085,29524
Annealing,0.900,0.400,40,Mirroring,0.000,0.425,35,83878,81885
Annealing,0.900,0.425,20,Annealing,0.900,0.400,20,133247,133134
Annealing,0.900,0.425,20,Annealing,0.900,0.400,35,2015,1769
Annealing,0.900,0.425,20,Annealing,0.900,0.400,40,1879,1757
Annealing,0.900,0.425,20,Annealing,0.900,0.425,35,522,491
Annealing,0.900,0.425,20,Annealing,0.950,0.400,20,315,235
Annealing,0.900,0.425,20,Annealing,0.950,0.400,30,99427,102465
Annealing,0.900,0.425,20,Annealing,0.950,0.400,35,177536,176069
Annealing,0.900,0.425,20,Annealing,0.950,0.400,40,147,112
Annealing,0.900,0.425,20,Annealing,0.950,0.425,25,141850,133477
Annealing,0.900,0.425,20,Annealing,0.950,0.425,30,260,250
Annealing,0.900,0.425,20,Mirroring,0.000,0.400,20,136,132
Annealing,0.900,0.425,20,Mirroring,0.000,0.400,30,36130,35005
Annealing,0.900,0.425,20,Mirroring,0.000,0.400,35,1366,1248
Annealing,0.900,0.425,20,Mirroring,0.000,0.425,20,876,1077
Annealing,0.900,0.425,20,Mirroring,0.000,0.425,25,11202,11071
Annealing,0.900,0.425,20,Mirroring,0.000,0.425,30,507,474
Annealing,0.900,0.425,25,Annealing,0.900,0.400,20,174373,167127
Annealing,0.900,0.425,25,Annealing,0.900,0.400,30,90622,83502
Annealing,0.900,0.425,25,Annealing,0.900,0.400,40,42,32
Annealing,0.900,0.425,25,Annealing,0.900,0.425,20,216,182
Annealing,0.900,0.425,25,Annealing,0.900,0.425,35,989,931
Annealing,0.900,0.425,25,Annealing,0.950,0.400,25,94477,92576
Annealing,0.900,0.425,25,Annealing,0.950,0.400,30,1178,1062
Annealing,0.900,0.425,25,Annealing,0.950,0.425,35,49457,48219
Annealing,0.900,0.425,25,Mirroring,0.000,0.400,35,861,810
Annealing,0.900,0.425,25,Mirroring,0.000,0.400,40,962,1025
Annealing,0.900,0.425,25,Mirroring,0.000,0.425,25,1820,1670
Annealing,0.900,0.425,25,Mirroring,0.000,0.425,30,187840,183240
Annealing,0.900,0.425,30,Annealing,0.900,0.400,40,4864,4560
Annealing,0.900,0.425,30,Annealing,0.900,0.425,20,95846,93572
Annealing,0.900,0.425,30,Annealing,0.900,0.425,25,58020,56310
Annealing,0.900,0.425,30,Annealing,0.900,0.425,35,106808,103162
Annealing,0.900,0.425,30,Annealing,0.950,0.400,20,99121,94028
Annealing,0.900,0.425,30,Annealing,0.950,0.400,30,2571,1784
Annealing,0.900,0.425,30,Annealing,0.950,0.400,35,816,766
Annealing,0.900,0.425,30,Annealing,0.950,0.425,20,1339,1208
